Language_Skill,Math_Skill,Coding_Skill,Health_Condition,Performance_Label
3.86,95,2,0.3,1
0.37,0,1,0.54,0
1.79,68,6,-0.25,1
0.58,3,5,-0.86,0
4.32,15,9,-0.85,1
3.12,23,1,-0.79,0
1.65,79,7,0.68,1
0.32,1,5,0.82,0
1.55,91,5,-0.75,1
1.63,31,2,-0.53,0
3.65,90,3,-0.67,0
3.19,83,7,-0.63,1
4.44,23,6,0.67,0
2.36,11,2,-0.34,0
0.6,49,6,-0.38,0
3.57,34,2,-0.55,0
3.8,32,2,0.22,0
2.81,32,2,-0.24,0
3.85,60,3,0.49,1
2.47,50,2,-0.59,0
2.61,42,4,0.58,0
2.14,100,9,0.21,1
0.13,11,6,-0.77,0
0.54,66,1,-0.17,0
0.16,64,8,0.73,1
3.18,32,7,0.85,0
1.57,39,10,-0.07,1
2.54,73,3,-0.04,0
4.54,42,1,0.84,0
1.25,43,5,0.17,0
2.05,28,4,-0.93,0
3.78,12,10,0.83,1
1.14,11,8,-0.5,0
0.38,94,1,0.16,0
1.45,45,10,-0.67,1
0.81,1,1,-0.93,0
4.65,34,4,-0.38,0
4.04,86,8,0.56,1
3.17,80,5,-0.44,1
4.36,89,2,-0.56,0
4.02,7,6,-0.57,0
0.93,92,5,0.03,1
4.46,25,2,0.95,0
2.7,73,3,-0.08,1
4.04,89,9,0.11,1
4.48,33,7,0.72,1
1.59,6,7,0.07,0
0.55,67,6,-0.63,0
1.14,57,8,-0.4,1
2.14,74,4,-0.38,1
4.09,28,8,-0.21,1
4.3,35,4,-0.15,0
0.03,88,8,0.6,1
2.55,20,9,-0.3,1
2.09,35,3,-0.06,0
1.11,9,3,0.25,0
0.6,100,2,-0.24,0
1.69,72,10,0.67,1
4.71,23,3,0.17,0
1.62,63,3,-0.41,0
2.59,98,5,0.43,1
3.52,48,5,0.06,1
1.82,98,2,0.07,0
4.86,35,10,-0.04,1
4.81,81,6,-0.01,1
1.26,95,5,0.53,0
2.49,23,6,-0.79,0
1.5,22,1,-0.33,0
1.42,61,5,-0.85,0
0.18,95,9,0.51,1
3.05,36,10,-0.46,1
2.51,11,2,0.79,0
0.26,54,1,0.05,0
1.39,12,10,0.6,0
4.54,22,9,0.96,1
1.2,88,10,0.68,1
0.72,98,9,0.73,1
2.45,29,9,-0.18,0
4.93,16,6,0.1,1
1.21,61,8,-0.49,1
3.36,83,1,-0.61,1
3.81,88,10,0.01,1
1.19,85,4,0.19,1
3.64,12,1,-0.32,0
1.84,58,8,0.14,1
3.16,18,1,0.77,0
3.17,48,3,0.11,0
2.68,99,4,0.44,1
0.45,11,8,0.61,0
4.18,60,6,0.98,1
1.6,18,10,0.21,1
0.93,75,7,0.61,1
0.2,8,8,0.93,0
2.95,70,2,0.89,0
3.39,27,10,-0.72,1
0.08,77,8,-0.19,1
2.56,94,3,-0.35,1
1.13,51,7,-0.83,1
3.23,82,3,0.27,0
0.87,15,7,0.47,0
3.45,68,2,0.7,0
1.93,98,10,-0.75,1
4.68,11,6,0.75,0
0.69,24,3,0.29,0
1.71,51,3,0.41,0
0.57,84,9,0.82,1
4.62,99,7,0.25,1
4.39,52,5,-0.33,0
1.29,22,10,0.65,1
3.3,15,7,-0.27,1
4.09,56,9,-0.93,1
2.78,38,1,0.66,0
2.65,52,7,-0.31,1
1.21,41,6,0.55,0
0.47,57,10,-0.27,1
4.49,38,9,0.72,1
4.5,13,1,-0.56,0
3.17,94,4,0.95,1
1.7,4,9,0.56,1
1.75,34,4,-0.77,0
3.63,86,10,0.13,1
4.49,92,3,0.97,1
4.44,74,9,-0.06,1
3.9,17,2,-0.64,0
3.21,75,4,-0.03,1
0.42,8,6,0.02,0
0.81,73,2,0.48,0
4.49,57,8,0.4,1
3.03,16,8,-0.19,1
0.05,6,1,-0.56,0
0.51,45,3,0.29,0
3.32,12,10,-0.16,1
0.03,39,9,-0.74,1
0.8,41,5,0.8,1
2.74,8,6,0.38,0
3.46,49,4,0.37,1
3.26,26,10,0.65,1
1.12,65,2,0.06,0
3.56,4,8,0.63,1
1.19,28,6,-0.0,0
1.63,36,5,-0.87,0
3.73,37,9,-0.19,1
3.25,82,1,-0.01,0
4.25,7,5,0.44,0
3.29,64,6,-0.79,0
2.84,85,5,-0.72,1
0.47,16,6,-0.47,0
1.84,70,6,-0.47,1
1.33,88,7,0.46,1
1.22,44,4,-0.5,0
4.87,3,8,0.27,1
1.97,35,7,-0.01,1
4.46,69,9,0.15,1
3.16,30,7,0.68,1
3.97,18,3,-0.19,0
2.51,60,3,0.54,0
2.88,53,8,-0.16,1
2.46,38,5,-0.29,0
0.98,90,4,0.92,1
3.61,73,8,-0.63,1
1.4,89,6,-0.82,1
0.12,18,2,0.54,0
3.23,38,4,-0.86,1
0.89,66,4,0.67,1
4.7,44,6,-0.13,1
4.77,12,6,0.83,1
4.57,91,1,0.44,0
1.85,57,8,0.22,1
0.08,19,6,0.9,0
4.64,91,3,-0.21,1
2.14,71,9,0.91,1
4.83,60,2,-0.73,0
4.82,38,8,-0.03,1
4.27,0,10,-0.46,1
1.47,2,3,0.08,0
1.93,76,5,-0.68,1
4.26,91,6,0.68,1
1.58,61,10,0.69,1
0.85,62,6,0.91,1
2.78,24,4,-0.69,0
4.68,55,3,0.25,0
3.48,32,4,-0.05,0
2.85,37,1,-0.31,0
0.49,5,4,-0.3,0
3.08,57,1,-0.17,0
4.95,43,1,0.41,0
0.7,44,10,0.2,1
2.59,31,6,-0.08,1
4.39,44,5,-0.85,1
3.7,60,4,-0.84,0
3.49,46,3,-1.0,0
3.51,20,1,0.94,0
1.8,79,6,-0.99,0
1.47,84,2,-0.79,0
4.05,74,8,-0.37,1
4.05,100,10,0.61,1
4.34,35,5,0.92,0
4.57,98,7,0.58,1
2.56,18,10,0.38,1
2.51,19,2,0.04,0
3.99,56,8,-0.83,1
3.25,17,2,0.92,0
3.51,46,4,0.52,1
3.98,48,1,0.28,0
4.45,13,5,0.52,0
1.69,14,9,0.45,0
1.88,30,1,0.27,0
0.47,0,9,0.96,1
2.89,53,8,0.81,1
0.18,2,6,0.29,0
2.33,15,7,0.39,0
2.71,86,3,-0.9,1
1.43,56,1,0.34,0
2.95,74,5,-0.91,1
0.15,11,2,0.18,0
0.19,73,5,1.0,0
4.11,95,8,0.11,1
1.8,15,9,-0.05,1
0.64,71,2,-0.37,0
2.61,75,3,-0.76,0
3.85,23,3,0.46,0
1.08,27,1,-0.61,0
3.11,7,8,-0.77,1
0.43,91,6,-0.16,1
